TID,KR,EN,CN,JP,PLD,TW,IND
basicTutorial5_1,어라! 오랜만이야\n%s,Hey! Long time no see~\n%s,啊! 好久不見了！\n%s！,Hey! Long time no see\n%s,Hej! Długo się nie widzieliśmy\n%s,啊! 好久不見了！\n%s！,Hey! Long time no see\n%s
basicTutorial5_2,오호! 젬 아이템을 얻었구나!\n젬은 드래곤의 능력을 올려주는 아이템이야!,Whoa! You received a gem!\nGems boost dragon`s ability.,哇! 你得到了一顆寶石!\n寶石能夠加強神龍的能力唷!,Whoa! You received a gem!\nGem is an item to boost dragon's ability.,"ŁOŁ! Otrzymałeś kryształ!\nKryształy to przedmioty, które rozwijają zdolności smoka.",哇! 你得到了一顆寶石!\n寶石能夠加強神龍的能力唷!,Whoa! You received a gem!\nGem is an item to boost dragon's ability.
basicTutorial5_3,착용하는 법을 알려줄게!\n이 선배님의 말을 잘 따라오라고! 으히힛!!,I`ll show you how it works!\nFollow my instructions!,讓我教你如何鑲嵌寶石吧！\n你要仔細聽好喔！哈哈！,I'll show you how to wear it!\nFollow my instruction!,"Pokażę Ci, jak tego się używa!\nPodążaj za moimi wskazówkami!",讓我教你如何鑲嵌寶石吧！\n你要仔細聽好喔！哈哈！,I'll show you how to wear it!\nFollow my instruction!
basicTutorial6_1,올라간 능력치가 보이지?,Do you see the improved ability?,你看到神龍的屬性上升了嗎?,Can you see the improved ability?,Widzisz jak polepszyły się statystyki smoka?,你看到神龍的屬性上升了嗎?,Can you see the improved ability?
basicTutorial6_2,"젬은 탐험과 상점으로 얻을 수 있어!\n공격과 방어, 체력을 올려주지!!","You can get gems from adventures or buy them at the store!\nIt boosts attack, defense, and health!!",寶石可以透過冒險獲得，也可以在商店裡購買！\n使用寶石可以提高神龍攻擊、防禦和體力的數值～,"You can get gems from adventure and the store!\nIt boosts attack, defense, and health!!","Kryształy możesz kupić w sklepie lub znaleźć podczas przygody!\nUlepszają atak, obronę i zdrowie!!",寶石可以透過冒險獲得，也可以在商店裡購買！\n使用寶石可以提高神龍攻擊、防禦和體力的數值～,"You can get gems from adventure and the store!\nIt boosts attack, defense, and health!!"
basicTutorial6_3,높은 젬을 지닐 수록 더욱 드래곤이 강해지겠지?\n그러니 탐험을 게을리해서는 안돼~!,"The more gems you wear, the stronger you become!\nSo don`t slack off exploring!",寶石的等級越高，神龍獲得的能力也越強！\n所以，要努力冒險喔～！,"The more gems you have, the stronger you become!\nSo don't slack off exploring!","Tym więcej kryształów użyjesz, tym potężniejszy będzie Twój smok!\nWięc eksploruj różne miejsca!",寶石的等級越高，神龍獲得的能力也越強！\n所以，要努力冒險喔～！,"The more gems you have, the stronger you become!\nSo don't slack off exploring!"
basicTutorial6_4,그럼~이만 가볼게!!,We gotta go!!,那，我們先告退了！,We got to go! Later!%s,Musimy już się zbierać...%s,那，我們先告退了！,We got to go! Later!
basicTutorial6_5,나중에 또 보자고!\n바이바이~!,We'll see you later!\nByebye~!,後會有期～\n拜拜！！,We'll see you later!\nByebye~!,Do zobaczenia później!\nNarazie~!,後會有期～\n拜拜！！,We'll see you later!\nByebye~!
basicTutorial7_1,어라! 오랜만이야! %s!\n어라? 그건 물의 정기네?!,Hey! Long time no see!%s!\nYou got a water element!,嘿～好久不見啦！%s！\n嗯？這個不是寒霜元素嗎？！,Hey! Long time no see!%s!\nWait? Isn't that a water element?,Hej! Co tam słychać %s!\nOoo! Czy to nie pierwiastek żywiołu wody?,嘿～好久不見啦！%s！\n嗯？這個不是寒霜元素嗎？！,Hey! Long time no see!%s!\nWait? Isn't that a water element?
basicTutorial7_2,그럼~정기의 사용법에 대해 알려줄게!\n각종 정기는 탐험과 친구와 선물로 구할 수 있어!,I will tell you how to use elements!\n You can get various elements from adventures or as a gift from your friends!,那麼，讓我告訴你關於元素的資訊吧……\n各種不同的元素可能在冒險途中發現，也可以透過好友贈送而取得。,I will tell you how to use elements!\n You can get various elements from adventure or as a gift from your friends!,Powiem Ci o nich więcej!\n Zdobędziesz je podczas eksplorowania różnych miejsc albo od przyjaciół!,那麼，讓我告訴你關於元素的資訊吧……\n各種不同的元素可能在冒險途中發現，也可以透過好友贈送而取得。,I will tell you how to use elements!\n You can get various elements from adventure or as a gift from your friends!
basicTutorial7_3,우선~내가 물의 정기 19개를 줄게!!\n내가 정기를 알로 교환하는 법을 알려줄게!!,"First, I will give you 19 water elements!!\nNow, I will let you know how to exchange elements to a dragon egg!!",我先給你19個寒霜元素，\n然後我會教你如何使用元素換取龍蛋！,"First, I will give you 19 water elements!!\nNow, I will let you know how to exchange elements to egg!!","Abyś się nauczył, daję Ci + 19 pierwiastków wody!!\nTeraz, pokażę Ci jak wymienić pierwiastki na jajo!!",我先給你19個寒霜元素，\n然後我會教你如何使用元素換取龍蛋！,"First, I will give you 19 water elements!!\nNow, I will let you know how to exchange elements to egg!!"
basicTutorial8_1,축하해! 물속성 드래곤 알을 얻었구나!\n부화는 부화기가 있어야 가능한건 알고 있지?!,"Congratulations!! You got a water dragon egg!\nYou know you need an incubator to hatch, right?",恭喜恭喜！！你已經獲得了水屬性龍蛋！\n孵化龍蛋需要使用孵化器，這你已經知道了吧？,"Congratulation!! You acquired a water dragon egg!\nYou know you need an incubator to hatch, right?","Udało się!! Zdobyłeś jajo smoka wody!\nPamiętasz, że potrzebujesz Inkubatora aby wykluć smoka prawda?",恭喜恭喜！！你已經獲得了水屬性龍蛋！\n孵化龍蛋需要使用孵化器，這你已經知道了吧？,"Congratulation!! You acquired a water dragon egg!\nYou know you need an incubator to hatch, right?"
basicTutorial8_2,"땅,물,불,바람,빛,어둠 등 다양한 정기를 모아서\n알 교환 상점에서 교환 할 수 있어! 꼭 기억해두라고!!",You can exchange various elements\nto an egg at the store! Don't forget!,山脈、寒霜、烈炎、大氣、黎明、闍影，\n這些元素都是用來在龍蛋商店裡換取龍蛋的，別忘記啦！,You can exchange various elements\nto an egg at the store! Don't forget!,Możesz wymieniać różne pierwiastki\nna jajo w sklepie! Nie zapomnij o tym!,山脈、寒霜、烈炎、大氣、黎明、闍影，\n這些元素都是用來在龍蛋商店裡換取龍蛋的，別忘記啦！,You can exchange various elements\nto an egg at the store! Don't forget!
basicTutorial8_3,음? 시간이 벌써 이렇게 됐네!!\n우리는 이만 가볼게! 바이 바이~!,Umm? It`s time for us to go!\nBye~!,咦？時間不早了！\n我們先走啦，拜拜～！,Umm? It's time for us to go!\nBye bye~!,Ale się zasiedzieliśmy!\nDo zoba~!,咦？時間不早了！\n我們先走啦，拜拜～！,Umm? It's time for us to go!\nBye bye~!
basicTutorial9_1,앗! 드래곤이 행동불능이 됐잖아!!,Oh no! Your dragon is hurt!!,甚麼!!!?? 神龍不能行動了!!,What! Your dragon is incapable to move!!,O nie! Twój smok jest ciężko ranny!!,甚麼!!!?? 神龍不能行動了!!,What! Your dragon is incapable to move!!
basicTutorial9_2,걱정하지마! 드래곤을 치유하는 방법이 있으니까!,Don't worry! You can cure the dragon!,不要擔心! 我有恢復的方法!,Don't worry! You can cure the dragon!,Nie martw się! Możesz wyleczyć swojego smoka!,不要擔心! 我有恢復的方法!,Don't worry! You can cure the dragon!
basicTutorial9_3,자! 선배님을 잘 따라오세요~!!,Now! Listen carefully!!,仔細聽著!!,Now! Carefully listen to my instruction!!,Słuchaj moich instrukcji ostrożnie.,仔細聽著!!,Now! Carefully listen to my instruction!!
basicTutorial9_4,잠깐! 치료를 하면 많은 시간을 드래곤과 떨어져 있어야 해!\n시간은 금이라고! 내가 선심 써서 치료제를 하나 줄게!,"Wait! If you don`t have a medicine, you'll have to wait until your dragon can move again!\n Time is money! Here's a free medicine!",要治愈不能行動的神龍，你需要讓你的神龍休息一段長時間。\n然而時間就是金錢! 這次，讓我送你一個急救藥劑吧!,"Wait! If you don't have a medicine, you have to be away from the dragon for long!\n Time is money! Here is a medicine for free!","Jeśli nie masz lekarstwa, będziesz musiał poczekać aż smok wyzdrowieje!\n A czas to pieniądz! A ja mam dla Ciebie lekarstwo!",要治愈不能行動的神龍，你需要讓你的神龍休息一段長時間。\n然而時間就是金錢! 這次，讓我送你一個急救藥劑吧!,"Wait! If you don't have a medicine, you have to be away from the dragon for long!\n Time is money! Here is a medicine for free!"
basicTutorial9_5,자~ 치료제를 사용해서 드래곤을 치료해보자!,Now let's cure the dragon with a medicine!,我們快用急救藥劑替神龍進行治療!,Now let's cure the dragon with a medicine!,Teraz możemy wyleczyć smoka!,我們快用急救藥劑替神龍進行治療!,Now let's cure the dragon with a medicine!
basicTutorial9_6,좋아! 드래곤이 완전히 치료됐어!,Great! Your dragon is completely healed!,太好了! 神龍在使用急救藥劑後能夠立即完全恢復!,Great! Dragon is completely healed!,Świetnie! Smok czuje się jak nowonarodzony!,太好了! 神龍在使用急救藥劑後能夠立即完全恢復!,Great! Dragon is completely healed!
basicTutorial9_7,드래곤을 소중히 하라고!,Tame your dragon with love and care!,多點珍惜神龍吧!,Keep your dragon preciously!,Dbaj o swoje smoki!,多點珍惜神龍吧!,Keep your dragon preciously!
basicTutorial9_8,그럼 이만 가볼게! 나중에 봐~!,It's time for me to go! See you later!,我先走了! 再見~!,It's time for me to go! See you later!,"Muszę iść, zobaczymy się później!",我先走了! 再見~!,It's time for me to go! See you later!
beach,난파선,Wrecked Ship,遇難船,Wrecked Ship,Wrak Statku,遇難船,Wrecked Ship
beachIntro,당신은 난파선으로 탐험을 떠났습니다.\n배의 잔해가 여기저기 흩어져 있습니다.,You ventured out to the Wrecked Ship.\nYou see the ship's debris near the beach.,展開在遇難船的冒險。\n船的殘骸散落在各方。,You ventured out to the Wrecked Ship.\nYou see the ship's debris near the beach.,Docierasz do starego Wraku.\nWszędzie na plaży widzisz porozbijane resztki statku.,展開在遇難船的冒險。\n船的殘骸散落在各方。,Kamu menjelajah ke dalam Wrecked Ship.\nKamu melihat puing kapal di dekat pantai.
blackDragon,흑룡의 알,Black Dragon's egg,影魅龍蛋,黒龍の卵,Jajo Czarnego Smoka,影魅龍蛋,Black Dragon's egg
bombApple,폭탄사과즙,Apple Bomb,烈性蘋果汁,爆弾りんご液,Jabłkowa Bomba,烈性蘋果汁,Apple Bomb
bombDestroyed,폭탄을 %d개 제거했습니다.,Removed %d bombs.,除去%d 個炸彈。,Removed %d bombs.,Usunięto %d bomb.,除去%d 個炸彈。,%d bomb dihancurkan.
bombExploded,적이 설치한 폭탄이 터져\n%d의 피해를 입었습니다.,%d damage from opponent's bomb.,敵人的炸彈對你做成\n%d點傷害。,敵が設置した爆弾が爆発して\n%dの被害を受けました。,%d obraźeń od bomby przeciwnika.,敵人的炸彈對你做成\n%d點傷害。,%d damage dari bombs lawan.
breedBtn1,교배하기,Breed,開始交配,交配する,Hoduj,開始交配,Breed
breedBtn2,즉시완료,Complete Now,立即完成,迅速完了,Zakończ teraz,立即完成,Selesai
breedDark,어둠의,Dark's,闍影,闇の,Ciemności,闍影,Dark's
breedDragon1,드래곤 선택 1,DRAGON.1,,DRAGON.1,SMOK.1,龍.1,DRAGON.1
breedDragon2,드래곤 선택 2,DRAGON.2,,DRAGON.2,SMOK.2,龍.2,DRAGON.2
breedErrorMsg1,교배 중인 드래곤은 선택할 수 없습니다.,You cannot select dragons in breed.,無法選擇正在交配中的神龍。,交配しているドラゴンは選択出来ません。,Nie możesz wybrać rozmnażających się smoków.,無法選擇正在交配中的神龍。,Kamu tidak bisa memilih naga yang sedang dibiakkan.
breedErrorMsg2,교배가 불가능합니다.,These dragons cannot interbreed.,不可交配。,交配が出来ません。,Tych smoków nie można skrzyżować.,不可交配。,Naga-naga ini tidak bisa dibiakkan.
breedErrorMsg3,교배 가능한 드래곤이 없습니다.,No dragons available for breeding.,沒有可交配的神龍。,交配できるドラゴンがありません。,Brak smoków dostępnych do hodowli,沒有可交配的神龍。,Tidak ada naga tersedia untuk dibiakkan.
breedLight,빛의,Light's,黎明,光の,Światła,黎明,Light's
breedMsg1,<red>%s</red>와(과) <red>%s</red>을(를)\n교배하시겠습니까?,Would you like to breed\n%s and %s?,要把<red>%s</red>和 <red>%s</red>\n進行交配嗎?,%sと%sを\n交配しますか？,Czy chcesz wyhodować \n%s i %s?,要把<red>%s</red>和 <red>%s</red>\n進行交配嗎?,Maukah kamu membiakkan\n%s dan %s?
breedMsg2,<red>%s</red>와(과) <red>%s</red>을(를)\n즉시 교배하시겠습니까?\n(다이아 %d개가 소모됩니다.),Would you like to breed\n%s and %s?\n(Requires %d diamonds).,要把<red>%s</red>和 <red>%s</red>\n立即完成交配嗎?\n(須使用%d個鑽石),%sと%sを\n交配しますか？（ダイヤ六つを消費します),Czy chcesz wyhodować \n%s i %s?\n(Wymaga 6 diamentów).,要把<red>%s</red>和 <red>%s</red>\n立即完成交配嗎?\n(須使用%d個鑽石),Maukah kamu membiakkan\n%s dan %s?\n(membutuhkan 6 diamonds).
breedMsg3,%d'%02d'%02d'' 남았습니다.,%d'%02d'%02d'' left.,剩下%d'%02d'%02d''。,%d'%02d'%02d'' 残りました。,Pozostało %d`%02d`%02d``.,剩下%d'%02d'%02d''。,Tersisa %d'%02d'%02d''.
breedMsg4,20레벨 이상의 드래곤만 가능합니다.,Dragon has to be at least level 20.,20級以上的神龍方可進行交配。,レベル30以上のドラゴンだけ出来ます。,Smoki muszą posiadać przynajmniej 30 poziom.,20級以上的神龍方可進行交配。,Dragon harus lvl 20+.
breedSuccessMsg1,<red>%s</red>의 알을 얻었습니다.,You received %s's egg.,獲得<red>%s</red>的龍蛋。,%sの卵を得ました。,Otrzymałeś %s`s jaj.,獲得<red>%s</red>的龍蛋。,Kamu menerima %s's egg.
breedSuccessMsg2,빛의 %s의 알을 얻었습니다.,You received Light's %s's egg.,獲得%s的龍蛋(光)。,光の%sの卵を得ました。,Otrzymałeś %s`s jaj Światła.,獲得%s的龍蛋(光)。,Kamu menerimaLight's %s's egg.
breedSuccessMsg3,어둠의 %s의 알을 얻었습니다.,You received Dragon's %s's egg.,獲得%s的龍蛋(暗)。,闇の%sの卵を得ました。,Otrzymałeś %s`s jajo smoka.,獲得%s的龍蛋(暗)。,Kamu menerimaDragon's %s's egg.
